令和６年,社会福祉施設等調査　　令和６年１０月１日,,
京都府,1347,199,1148,5,-,5,1,-,1,-,-,-,4,-,4,-,-,-,-,-,-,127,17,110,16,-,16,1,-,1,2,-,2,-,-,-,66,-,66,-,-,-,4,3,1,24,11,13,14,3,11,78,2,76,49,1,48,25,1,24,4,-,4,14,-,14,1,-,1,6,-,6,-,-,-,-,-,-,1,-,1,2,-,2,2,-,2,2,-,2,1,1,-,804,143,661,19,9,10,4,-,4,4,-,4,375,85,290,35,5,30,340,80,260,183,1,182,162,-,162,2,-,2,1,-,1,12,-,12,-,-,-,6,1,5,13,-,13,3,-,3,5,1,4,14,1,13,2,-,2,1,1,-,3,-,3,-,-,-,149,30,119,21,11,10,-,-,-,-,-,-,-,-,-,2,-,2,6,4,2,1,-,1,1,-,1,-,-,-,317,36,281,-,-,-,1,-,1,-,-,-,36,36,-,-,-,-,-,-,-,117,-,117,163,-,163
大阪府,4600,303,4297,25,1,24,16,-,16,-,-,-,9,1,8,-,-,-,-,-,-,254,27,227,28,-,28,1,-,1,15,-,15,-,-,-,115,-,115,-,-,-,5,-,5,56,7,49,34,20,14,226,9,217,85,3,82,141,6,135,-,-,-,27,6,21,5,-,5,14,6,8,-,-,-,-,-,-,1,-,1,4,-,4,1,-,1,2,-,2,2,-,2,1771,237,1534,39,18,21,11,-,11,7,-,7,977,160,817,44,2,42,933,158,775,570,8,562,502,7,495,10,-,10,20,-,20,15,-,15,-,-,-,23,1,22,41,-,41,12,-,12,10,1,9,47,19,28,6,-,6,3,3,-,3,-,3,-,-,-,19,12,7,19,12,7,-,-,-,-,-,-,-,-,-,7,4,3,-,-,-,5,1,4,5,1,4,-,-,-,2290,22,2268,-,-,-,10,-,10,1,-,1,40,22,18,-,-,-,1,-,1,1653,-,1653,585,-,585
兵庫県,2681,351,2330,10,1,9,9,1,8,-,-,-,1,-,1,-,-,-,-,-,-,203,27,176,39,3,36,2,-,2,1,-,1,-,-,-,109,1,108,2,-,2,10,5,5,27,10,17,13,8,5,245,-,245,105,-,105,135,-,135,5,-,5,11,2,9,2,1,1,3,1,2,1,-,1,1,-,1,1,-,1,2,-,2,-,-,-,1,-,1,2,-,2,1311,244,1067,11,8,3,9,-,9,12,-,12,604,186,418,64,-,64,540,186,354,386,1,385,315,-,315,8,-,8,1,-,1,26,-,26,-,-,-,36,1,35,38,-,38,9,-,9,10,2,8,32,13,19,2,-,2,2,2,-,11,-,11,3,-,3,73,26,47,105,4,101,1,-,1,1,-,1,-,-,-,-,-,-,2,2,-,5,1,4,5,1,4,-,-,-,894,76,818,-,-,-,4,1,3,1,-,1,82,75,7,-,-,-,4,-,4,572,-,572,231,-,231
奈良県,636,132,504,5,-,5,2,-,2,-,-,-,3,-,3,-,-,-,-,-,-,70,10,60,11,2,9,1,-,1,6,-,6,-,-,-,34,-,34,-,-,-,6,4,2,12,4,8,-,-,-,56,1,55,33,-,33,19,1,18,4,-,4,4,2,2,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-,241,85,156,4,3,1,2,-,2,3,-,3,126,50,76,1,-,1,125,50,75,50,6,44,41,5,36,3,1,2,-,-,-,4,-,4,-,-,-,2,-,2,6,-,6,3,1,2,2,-,2,10,1,9,-,-,-,1,1,-,2,-,2,1,-,1,19,14,5,9,8,1,-,-,-,-,-,-,-,-,-,-,-,-,3,1,2,-,-,-,-,-,-,-,-,-,260,34,226,-,-,-,-,-,-,-,-,-,40,34,6,-,-,-,-,-,-,148,-,148,72,-,72
和歌山県,699,199,500,4,-,4,2,-,2,-,-,-,2,-,2,-,-,-,-,-,-,39,7,32,12,5,7,1,-,1,-,-,-,-,-,-,23,-,23,-,-,-,2,1,1,-,-,-,1,1,-,45,-,45,25,-,25,20,-,20,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,247,137,110,4,3,1,1,-,1,4,3,1,141,74,67,33,16,17,108,58,50,5,-,5,4,-,4,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,8,1,7,2,-,2,5,1,4,17,-,17,1,-,1,1,1,-,2,-,2,1,-,1,44,44,-,11,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,361,54,307,-,-,-,-,-,-,-,-,-,54,54,-,-,-,-,-,-,-,181,-,181,126,-,126
鳥取県,495,159,336,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,56,3,53,4,-,4,-,-,-,4,-,4,-,-,-,26,-,26,-,-,-,6,-,6,16,3,13,-,-,-,33,-,33,22,-,22,11,-,11,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,249,119,130,5,4,1,2,-,2,5,-,5,130,67,63,11,4,7,119,63,56,34,3,31,28,-,28,2,1,1,-,-,-,-,-,-,-,-,-,4,2,2,5,-,5,2,1,1,1,1,-,7,5,2,1,-,1,1,1,-,3,-,3,1,-,1,37,25,12,8,5,3,-,-,-,-,-,-,-,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,154,37,117,-,-,-,-,-,-,1,-,1,37,37,-,-,-,-,-,-,-,68,-,68,48,-,48
島根県,571,56,515,3,-,3,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,51,6,45,22,1,21,1,-,1,-,-,-,-,-,-,17,-,17,-,-,-,1,-,1,6,2,4,4,3,1,60,-,60,26,-,26,34,-,34,-,-,-,5,-,5,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,2,-,-,-,2,-,2,-,-,-,302,41,261,1,1,-,1,-,1,1,-,1,260,35,225,38,10,28,222,25,197,16,1,15,9,1,8,1,-,1,-,-,-,3,-,3,-,-,-,3,-,3,3,-,3,5,-,5,2,-,2,5,-,5,1,-,1,1,1,-,-,-,-,-,-,-,1,-,1,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,3,3,-,1,-,1,1,-,1,-,-,-,149,9,140,-,-,-,-,-,-,-,-,-,9,9,-,-,-,-,-,-,-,82,-,82,58,-,58
岡山県,1140,202,938,10,2,8,7,2,5,-,-,-,1,-,1,2,-,2,-,-,-,125,14,111,22,4,18,1,-,1,2,-,2,1,1,-,68,-,68,-,-,-,5,4,1,20,4,16,6,1,5,108,3,105,46,-,46,59,3,56,3,-,3,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,505,139,366,9,2,7,1,-,1,2,1,1,300,101,199,36,16,20,264,85,179,99,-,99,59,-,59,2,-,2,1,-,1,1,-,1,-,-,-,36,-,36,11,1,10,3,-,3,3,1,2,19,1,18,1,-,1,1,1,-,3,-,3,-,-,-,42,21,21,5,4,1,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,390,44,346,1,-,1,2,-,2,-,-,-,44,44,-,-,-,-,1,-,1,225,-,225,117,-,117
広島県,1606,454,1152,5,-,5,3,-,3,-,-,-,2,-,2,-,-,-,-,-,-,132,13,119,29,-,29,2,-,2,4,-,4,-,-,-,62,1,61,-,-,-,4,1,3,23,9,14,8,2,6,127,1,126,64,1,63,56,-,56,7,-,7,6,-,6,1,-,1,3,-,3,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,-,1,876,391,485,-,-,-,2,-,2,9,-,9,523,246,277,62,20,42,461,226,235,129,3,126,83,2,81,5,-,5,-,-,-,-,-,-,-,-,-,41,1,40,13,-,13,9,-,9,11,3,8,25,-,25,3,-,3,1,1,-,4,-,4,-,-,-,44,42,2,99,94,5,-,-,-,-,-,-,-,-,-,3,1,2,1,1,-,1,-,1,1,-,1,-,-,-,458,49,409,-,-,-,-,-,-,-,-,-,51,48,3,-,-,-,-,-,-,253,1,252,154,-,154
山口県,1027,186,841,7,1,6,6,1,5,-,-,-,1,-,1,-,-,-,-,-,-,81,11,70,20,4,16,1,-,1,9,-,9,-,-,-,37,-,37,-,-,-,-,-,-,14,7,7,-,-,-,71,-,71,48,-,48,22,-,22,1,-,1,6,2,4,1,1,-,2,-,2,-,-,-,-,-,-,-,-,-,2,1,1,-,-,-,1,-,1,1,1,-,403,146,257,4,1,3,1,-,1,1,-,1,264,85,179,1,1,-,263,84,179,31,-,31,21,-,21,2,-,2,-,-,-,-,-,-,-,-,-,8,-,8,10,-,10,2,-,2,3,2,1,10,-,10,1,-,1,1,1,-,5,-,5,1,-,1,26,17,9,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,40,40,-,1,-,1,1,-,1,-,-,-,457,25,432,-,-,-,4,-,4,-,-,-,22,22,-,3,3,-,-,-,-,293,-,293,135,-,135
徳島県,587,171,416,6,1,5,3,-,3,-,-,-,2,-,2,-,-,-,1,1,-,78,15,63,18,5,13,1,-,1,2,-,2,-,-,-,35,-,35,-,-,-,6,4,2,15,6,9,1,-,1,63,-,63,28,-,28,33,-,33,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,245,112,133,1,1,-,1,-,1,2,1,1,144,72,72,18,16,2,126,56,70,16,2,14,12,2,10,-,-,-,-,-,-,-,-,-,-,-,-,4,-,4,7,-,7,3,-,3,3,2,1,12,-,12,-,-,-,1,1,-,2,-,2,-,-,-,48,28,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,-,-,-,192,42,150,-,-,-,-,-,-,-,-,-,42,42,-,-,-,-,-,-,-,70,-,70,80,-,80
香川県,606,140,466,3,-,3,2,-,2,-,-,-,1,-,1,-,-,-,-,-,-,58,7,51,10,2,8,1,-,1,1,-,1,2,-,2,35,-,35,-,-,-,2,1,1,7,4,3,-,-,-,51,1,50,22,1,21,26,-,26,3,-,3,4,-,4,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,234,103,131,3,1,2,1,-,1,1,-,1,133,63,70,8,4,4,125,59,66,40,2,38,27,2,25,5,-,5,-,-,-,-,-,-,-,-,-,8,-,8,3,-,3,2,1,1,3,2,1,6,-,6,1,-,1,1,1,-,1,-,1,-,-,-,30,28,2,6,3,3,1,-,1,-,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,255,28,227,-,-,-,2,-,2,-,-,-,28,28,-,-,-,-,-,-,-,146,-,146,79,-,79
愛媛県,899,229,670,4,2,2,4,2,2,-,-,-,-,-,-,-,-,-,-,-,-,91,19,72,21,9,12,1,-,1,1,-,1,-,-,-,51,3,48,-,-,-,1,-,1,14,6,8,2,1,1,77,5,72,47,2,45,30,3,27,-,-,-,8,-,8,1,-,1,4,-,4,1,-,1,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,396,161,235,1,-,1,2,1,1,3,2,1,247,122,125,33,13,20,214,109,105,65,2,63,40,-,40,4,-,4,-,-,-,1,1,-,-,-,-,20,1,19,10,1,9,4,1,3,3,2,1,9,1,8,1,-,1,1,1,-,1,-,1,2,-,2,35,25,10,10,3,7,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,1,-,1,-,-,-,321,41,280,-,-,-,1,-,1,-,-,-,41,41,-,-,-,-,-,-,-,279,-,279,-,-,-
高知県,625,249,376,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,56,19,37,9,3,6,2,-,2,1,-,1,-,-,-,25,-,25,-,-,-,-,-,-,9,6,3,10,10,-,45,1,44,28,1,27,15,-,15,2,-,2,3,1,2,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,1,-,1,1,1,-,355,176,179,6,4,2,1,-,1,2,-,2,220,102,118,6,-,6,214,102,112,31,5,26,15,4,11,8,-,8,-,-,-,2,-,2,-,-,-,6,1,5,8,-,8,1,-,1,4,-,4,7,2,5,1,-,1,1,1,-,6,-,6,-,-,-,18,13,5,10,10,-,-,-,-,-,-,-,-,-,-,-,-,-,39,39,-,-,-,-,-,-,-,-,-,-,163,51,112,-,-,-,-,-,-,-,-,-,51,51,-,-,-,-,-,-,-,77,-,77,35,-,35
福岡県,3361,251,3110,7,-,7,7,-,7,-,-,-,-,-,-,-,-,-,-,-,-,200,11,189,33,1,32,3,-,3,25,-,25,-,-,-,100,-,100,-,-,-,6,-,6,33,10,23,-,-,-,212,1,211,131,1,130,78,-,78,3,-,3,15,-,15,2,-,2,10,-,10,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,1,-,1,1,-,1,1529,164,1365,9,4,5,6,-,6,12,2,10,983,97,886,111,2,109,872,95,777,302,-,302,248,-,248,1,-,1,6,-,6,20,-,20,3,-,3,24,-,24,21,-,21,10,-,10,11,3,8,45,-,45,2,-,2,1,1,-,7,-,7,-,-,-,17,5,12,59,8,51,-,-,-,-,-,-,-,-,-,2,2,-,42,42,-,4,-,4,4,-,4,-,-,-,1393,75,1318,1,-,1,12,-,12,-,-,-,74,73,1,2,2,-,5,-,5,1087,-,1087,212,-,212
佐賀県,731,67,664,3,-,3,2,-,2,-,-,-,1,-,1,-,-,-,-,-,-,58,6,52,11,-,11,1,-,1,1,-,1,-,-,-,25,-,25,-,-,-,3,-,3,17,6,11,-,-,-,42,1,41,19,-,19,18,1,17,5,-,5,5,2,3,-,-,-,3,2,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,-,1,299,53,246,3,2,1,1,-,1,2,-,2,178,26,152,35,-,35,143,26,117,65,1,64,43,1,42,7,-,7,1,-,1,3,-,3,-,-,-,11,-,11,5,-,5,2,1,1,5,2,3,10,1,9,1,-,1,1,1,-,1,-,1,-,-,-,8,5,3,9,6,3,-,-,-,-,-,-,-,-,-,-,-,-,8,8,-,1,-,1,1,-,1,-,-,-,322,5,317,-,-,-,-,-,-,-,-,-,5,5,-,-,-,-,-,-,-,298,-,298,19,-,19
長崎県,1055,148,907,4,-,4,3,-,3,-,-,-,-,-,-,1,-,1,-,-,-,86,3,83,29,2,27,1,-,1,6,-,6,-,-,-,32,-,32,-,-,-,-,-,-,14,-,14,4,1,3,75,2,73,44,-,44,31,2,29,-,-,-,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,509,85,424,5,5,-,1,-,1,1,-,1,372,28,344,45,2,43,327,26,301,32,-,32,21,-,21,4,-,4,-,-,-,3,-,3,-,-,-,4,-,4,11,-,11,2,-,2,5,2,3,13,1,12,1,-,1,1,1,-,3,-,3,-,-,-,20,17,3,11,1,10,-,-,-,-,-,-,-,-,-,4,3,1,27,27,-,-,-,-,-,-,-,-,-,-,378,57,321,1,-,1,1,-,1,-,-,-,46,46,-,11,11,-,-,-,-,228,-,228,91,-,91
熊本県,1523,143,1380,8,1,7,7,1,6,-,-,-,1,-,1,-,-,-,-,-,-,103,8,95,35,1,34,1,-,1,5,-,5,-,-,-,30,-,30,-,-,-,11,2,9,15,3,12,6,2,4,112,-,112,62,-,62,46,-,46,4,-,4,5,1,4,1,-,1,1,-,1,-,-,-,1,1,-,-,-,-,1,-,1,-,-,-,1,-,1,-,-,-,701,114,587,7,2,5,3,-,3,2,-,2,483,75,408,12,-,12,471,75,396,105,-,105,78,-,78,7,-,7,-,-,-,7,-,7,-,-,-,13,-,13,12,-,12,8,-,8,4,1,3,19,1,18,1,-,1,1,1,-,8,-,8,3,-,3,23,17,6,17,13,4,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,2,-,2,1,-,1,1,-,1,592,19,573,1,-,1,1,-,1,-,-,-,19,19,-,-,-,-,-,-,-,453,-,453,118,-,118
大分県,897,71,826,3,-,3,2,-,2,-,-,-,-,-,-,1,-,1,-,-,-,41,2,39,18,-,18,1,-,1,3,-,3,-,-,-,16,-,16,-,-,-,1,1,-,2,1,1,-,-,-,64,-,64,37,-,37,21,-,21,6,-,6,3,-,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,1,-,330,59,271,1,1,-,1,-,1,3,1,2,217,40,177,48,7,41,169,33,136,36,-,36,20,-,20,1,-,1,-,-,-,5,-,5,-,-,-,10,-,10,9,-,9,3,-,3,4,-,4,17,-,17,1,-,1,1,1,-,5,-,5,-,-,-,27,15,12,1,-,1,-,-,-,-,-,-,-,-,-,4,1,3,-,-,-,1,-,1,1,-,1,-,-,-,454,9,445,1,-,1,2,-,2,-,-,-,9,9,-,-,-,-,1,-,1,382,-,382,59,-,59
宮崎県,1138,144,994,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,70,7,63,32,2,30,1,-,1,2,-,2,-,-,-,19,-,19,-,-,-,-,-,-,12,4,8,4,1,3,59,-,59,30,-,30,28,-,28,1,-,1,4,-,4,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,1,-,1,1,1,-,481,136,345,5,4,1,2,-,2,1,-,1,270,30,240,42,3,39,228,27,201,26,2,24,20,1,19,4,1,3,-,-,-,1,-,1,-,-,-,1,-,1,10,-,10,5,-,5,4,3,1,14,1,13,1,-,1,1,1,-,2,-,2,-,-,-,44,13,31,14,-,14,-,-,-,-,-,-,-,-,-,-,-,-,82,82,-,1,-,1,1,-,1,-,-,-,520,-,520,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,493,-,493,27,-,27
鹿児島県,1245,66,1179,1,-,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,117,7,110,35,2,33,3,-,3,7,-,7,2,-,2,28,-,28,-,-,-,4,1,3,35,4,31,3,-,3,126,-,126,76,-,76,44,-,44,6,-,6,4,1,3,1,1,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,-,1,527,56,471,3,2,1,3,-,3,5,-,5,352,38,314,37,5,32,315,33,282,67,2,65,35,-,35,18,2,16,-,-,-,3,-,3,-,-,-,11,-,11,14,-,14,8,-,8,3,1,2,40,1,39,1,-,1,1,1,-,3,-,3,-,-,-,12,2,10,7,1,6,-,-,-,-,-,-,-,-,-,-,-,-,8,8,-,1,-,1,1,-,1,-,-,-,468,2,466,-,-,-,1,-,1,-,-,-,2,2,-,-,-,-,-,-,-,423,-,423,42,-,42
沖縄県,1438,101,1337,2,-,2,2,-,2,-,-,-,-,-,-,-,-,-,-,-,-,36,5,31,6,-,6,-,-,-,-,-,-,-,-,-,8,-,8,-,-,-,7,1,6,14,4,10,1,-,1,82,1,81,46,-,46,36,1,35,-,-,-,3,-,3,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,1,1,-,1,828,95,733,10,7,3,1,-,1,3,-,3,487,42,445,70,2,68,417,40,377,223,1,222,135,1,134,46,-,46,1,-,1,9,-,9,-,-,-,32,-,32,8,-,8,4,-,4,6,2,4,5,1,4,1,-,1,1,1,-,3,-,3,-,-,-,43,28,15,32,12,20,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,2,2,-,2,-,-,-,484,-,484,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,416,-,416,67,-,67
